ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
CR-AA-02327	BC18	CR2327_20nm_1	20	TT21	1	8303	1472	419	4924	113	1375	0.593038660725039	0.177285318559557	2327
CR-AA-02331	BC20	CR2331_20nm_1	20	TT21	1	642	136	28	387	9	82	0.602803738317757	0.21183800623053	2331
CR-AA-02332	BC21	CR2332_20nm_1	20	TT21	1	1748	400	69	1014	29	236	0.580091533180778	0.22883295194508	2332
CR-AA-02333	BC22	CR2333_20nm_1	20	TT21	1	2450	588	113	1352	60	337	0.551836734693878	0.24	2333
PBS	BC23	PBS_20nm_2	20	TT21	1	7614	2209	407	3750	187	1061	0.492513790386131	0.290123456790123	PBS
PBS	BC25	PBS_2nm_1	2	TT21	1	1694	425	51	1015	24	179	0.599173553719008	0.250885478158205	PBS
CR-AA-02327	BC26	CR2327_2nm_1	2	TT21	1	4580	1221	179	2462	85	633	0.537554585152838	0.266593886462882	2327
CR-AA-02331	BC28	CR2331_2nm_1	2	TT21	1	4218	918	211	2324	82	683	0.550972024656235	0.217638691322902	2331
CR-AA-02332	BC29	CR2332_2nm_1	2	TT21	1	10083	2661	489	5306	249	1378	0.526232272141228	0.26390955072895	2332
CR-AA-02333	BC30	CR2333_2nm_1	2	TT21	1	980	286	65	459	26	144	0.468367346938776	0.291836734693878	2333
PBS	BC31	PBS_2nm_2	2	TT21	1	982	303	40	505	26	108	0.514256619144603	0.308553971486762	PBS
CR-EX-00001	BC32	EX-00001_2nm_1	2	TT21	1	3731	1046	271	1722	93	599	0.461538461538462	0.280353792548915	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm_2	2000	TT21	1	2703	865	129	1357	80	272	0.502034776174621	0.320014798372179	EX-00001
CR-AA-02327	BC35	CR2327_2000nm_2	2000	TT21	1	33622	6263	1942	20533	606	4278	0.610701326512403	0.186276842543573	2327
CR-AA-02331	BC37	CR2331_2000nm_2	2000	TT21	1	1106	188	75	626	16	201	0.566003616636528	0.16998191681736	2331
